method,sample_id,coverage_score,acceptance_completeness,dependency_capture_rate,rework_rate,time_to_ready_minutes,reviewer_edits_per_story,governance_block_rate
B0_manual,U01193,6.4406,6.1685,0.5702,0.2508,183.26,4.3254,0.0891
B0_manual,U01207,6.406,6.126,0.5544,0.2611,188.7,4.476,0.0959
B0_manual,U01221,6.3961,6.1218,0.558,0.2588,187.56,4.4456,0.094
B0_manual,U01235,6.3419,6.0834,0.5619,0.2568,186.55,4.4221,0.0911
B0_manual,U01249,6.1449,5.9109,0.5428,0.2703,193.95,4.6381,0.0964
B0_manual,U01263,6.2848,6.0439,0.5672,0.2539,185.12,4.3875,0.0875
B0_manual,U01277,6.3415,6.0694,0.5479,0.2657,191.2,4.5488,0.0978
B0_manual,U01291,6.4239,6.1513,0.566,0.2536,184.77,4.3678,0.0908
B0_manual,U01305,6.4581,6.1738,0.5616,0.2561,186.02,4.3993,0.0935
B0_manual,U01319,6.3063,6.0475,0.5536,0.2623,189.51,4.5052,0.0944
B0_manual,U01333,6.1241,5.9036,0.5519,0.2647,191.06,4.5608,0.0917
B0_manual,U01347,6.2119,5.9735,0.5533,0.2632,190.11,4.5285,0.0927
B0_manual,U01361,6.2702,6.0294,0.564,0.256,186.24,4.419,0.0887
B0_manual,U01375,6.2932,6.0517,0.5685,0.253,184.64,4.3737,0.087
B0_manual,U01389,6.0467,5.8334,0.5419,0.2716,194.78,4.6677,0.0949
B0_manual,U01403,6.4227,6.1405,0.5559,0.26,188.13,4.4592,0.0956
B0_manual,U01417,6.2349,5.99,0.5519,0.2639,190.46,4.5364,0.0938
B0_manual,U01431,6.2042,5.9736,0.5595,0.2593,188.09,4.4742,0.0896
B0_manual,U01445,6.3544,6.0801,0.5487,0.2651,190.88,4.5392,0.0977
B0_manual,U01459,6.6194,6.3133,0.5756,0.2461,180.53,4.2379,0.09
B0_manual,U01473,6.3903,6.1265,0.5674,0.253,184.49,4.3626,0.0895
B0_manual,U01487,6.4305,6.1597,0.5692,0.2515,183.65,4.3367,0.0894
B0_manual,U01501,6.4504,6.1703,0.5642,0.2545,185.2,4.3774,0.0921
B0_manual,U01515,6.3166,6.0635,0.5618,0.257,186.72,4.4287,0.0907
B0_manual,U01529,6.1427,5.9166,0.5504,0.2655,191.45,4.5701,0.0927
B0_manual,U01543,6.1611,5.9312,0.5506,0.2653,191.28,4.564,0.093
B0_manual,U01557,6.1146,5.8952,0.5509,0.2654,191.44,4.5719,0.0919
B0_manual,U01571,6.419,6.1459,0.5644,0.2546,185.32,4.3831,0.0915
B0_manual,U01585,6.2658,6.0203,0.5582,0.2597,188.21,4.4729,0.0914
B0_manual,U01599,6.2863,6.0267,0.5483,0.2658,191.37,4.5575,0.0965
B0_manual,U01613,6.3247,6.0631,0.555,0.2613,188.95,4.4886,0.0941
B0_manual,U01627,6.5065,6.2201,0.5703,0.2502,182.88,4.3102,0.0903
B0_manual,U01641,6.4211,6.1477,0.5645,0.2546,185.29,4.382,0.0915
B0_manual,U01655,6.2596,6.0133,0.5559,0.2612,188.99,4.4945,0.0924
B0_manual,U01669,6.23,5.9795,0.545,0.2683,192.77,4.5997,0.097
B0_manual,U01683,6.636,6.3304,0.5799,0.2432,179.03,4.1959,0.0883
B0_manual,U01697,6.394,6.1195,0.5573,0.2593,187.79,4.4521,0.0943
B0_manual,U01711,6.357,6.102,0.5689,0.2522,184.14,4.3555,0.0881
B0_manual,U01725,6.2467,5.9965,0.5491,0.2656,191.32,4.5589,0.0954
B0_manual,U01739,6.294,6.0415,0.5574,0.26,188.32,4.4739,0.0924
B0_manual,U01753,6.2065,5.9653,0.5493,0.2658,191.47,4.5659,0.0945
B0_manual,U01767,6.2296,5.9901,0.5561,0.2613,189.07,4.499,0.0917
B0_manual,U01781,5.9868,5.7757,0.5306,0.2792,198.83,4.7825,0.0991
B0_manual,U01795,6.1349,5.9062,0.546,0.2684,192.95,4.6115,0.0947
B0_manual,U01809,6.3216,6.0642,0.5585,0.2591,187.78,4.4571,0.0923
B0_manual,U01823,6.3052,6.0405,0.5474,0.2663,191.58,4.5617,0.0973
B0_manual,U01837,6.3145,6.0618,0.5618,0.257,186.74,4.4293,0.0906
B0_manual,U01851,6.4653,6.1794,0.5617,0.256,185.97,4.3973,0.0936
B0_manual,U01865,6.2484,6.0102,0.5617,0.2576,187.11,4.4444,0.0894
B0_manual,U01879,6.1986,5.9688,0.5592,0.2596,188.24,4.4786,0.0896
B0_manual,U01893,6.0597,5.8434,0.5417,0.2716,194.76,4.6663,0.0952
B0_manual,U01907,6.2688,6.0224,0.558,0.2598,188.25,4.4739,0.0916
B0_manual,U01921,6.41,6.1294,0.5547,0.2608,188.58,4.4725,0.0959
B0_manual,U01935,6.2298,5.9913,0.5573,0.2605,188.68,4.4885,0.0911
B0_manual,U01949,6.2219,5.9783,0.5503,0.265,191.06,4.5536,0.0943
B0_manual,U01963,6.222,5.9787,0.5505,0.2649,190.98,4.5515,0.0942
B0_manual,U01977,6.542,6.2484,0.571,0.2496,182.47,4.2965,0.0907
B0_manual,U01991,6.4017,6.1237,0.5555,0.2604,188.36,4.467,0.0953
B0_manual,U02005,6.1886,5.9497,0.5476,0.267,192.12,4.5851,0.0949
B0_manual,U02019,6.4203,6.149,0.5665,0.2533,184.62,4.3638,0.0905
B0_manual,U02033,6.3449,6.0765,0.5525,0.2627,189.67,4.5069,0.0957
B0_manual,U02047,6.4569,6.1721,0.5609,0.2566,186.27,4.4062,0.0938
B0_manual,U02061,6.1376,5.9116,0.5493,0.2663,191.83,4.5809,0.0931
B0_manual,U02075,6.3314,6.0698,0.5564,0.2603,188.43,4.474,0.0935
B0_manual,U02089,6.4934,6.2114,0.572,0.2492,182.38,4.2977,0.0893
B0_manual,U02103,6.2002,5.9716,0.5607,0.2586,187.7,4.464,0.0889
B0_manual,U02117,6.4504,6.1768,0.5709,0.2503,183.01,4.3178,0.089
B0_manual,U02131,6.2128,5.9669,0.5458,0.2679,192.59,4.5959,0.0963
B0_manual,U02145,6.291,6.045,0.5633,0.2563,186.37,4.421,0.0895
B0_manual,U02159,6.2899,6.026,0.5448,0.268,192.53,4.5886,0.0983
B0_manual,U02173,6.4354,6.1538,0.5592,0.2578,186.94,4.4259,0.0942
B0_manual,U02187,6.2017,5.9678,0.5556,0.2618,189.39,4.5096,0.0914
B0_manual,U02201,6.397,6.1312,0.5669,0.2532,184.59,4.3649,0.0898
B0_manual,U02215,6.085,5.8625,0.5411,0.2718,194.83,4.6664,0.096
B0_manual,U02229,6.2391,6.002,0.5607,0.2583,187.5,4.4556,0.0897
B0_manual,U02243,6.3732,6.0987,0.5526,0.2625,189.48,4.4997,0.0962
B0_manual,U02257,6.2519,6.0137,0.5625,0.2571,186.84,4.4367,0.0891
B0_manual,U02271,6.1722,5.9359,0.5466,0.2677,192.55,4.5978,0.0951
B0_manual,U02285,6.3565,6.0869,0.5539,0.2618,189.14,4.4915,0.0952
B0_manual,U02299,6.3095,6.0559,0.5596,0.2585,187.48,4.45,0.0916
B0_manual,U02313,6.3998,6.1342,0.5677,0.2527,184.32,4.3573,0.0895
B0_manual,U02327,6.2126,5.9691,0.5482,0.2664,191.8,4.5746,0.0951
B0_manual,U02341,6.5691,6.2697,0.5711,0.2493,182.28,4.2893,0.0912
B0_manual,U02355,6.5139,6.2237,0.5682,0.2516,183.56,4.3282,0.0915
B0_manual,U02369,6.2795,6.024,0.5509,0.2642,190.53,4.535,0.0951
B0_manual,U02383,6.4391,6.1534,0.5559,0.2599,188.02,4.455,0.0959
B0_manual,U02397,6.1782,5.9421,0.5481,0.2667,192.02,4.5831,0.0945
B0_manual,U02411,6.2552,6.0111,0.5573,0.2604,188.57,4.4834,0.0917
B0_manual,U02425,6.3616,6.0976,0.5608,0.2574,186.83,4.4283,0.0921
B0_manual,U02439,6.1457,5.9086,0.5397,0.2723,194.97,4.6657,0.0979
B0_manual,U02453,6.2602,6.0149,0.5572,0.2604,188.57,4.4831,0.0918
B0_manual,U02467,6.5173,6.2287,0.5706,0.25,182.73,4.3054,0.0904
B0_manual,U02481,6.2637,6.0247,0.5643,0.2558,186.18,4.4179,0.0885
B0_manual,U02495,6.2238,5.9907,0.5614,0.258,187.37,4.4533,0.0891
B0_manual,U02509,6.2271,5.9867,0.5546,0.2622,189.59,4.5132,0.0924
B0_manual,U02523,6.4014,6.1335,0.5658,0.2539,184.95,4.3743,0.0904
B0_manual,U02537,6.3745,6.1102,0.5633,0.2557,185.92,4.4027,0.0911
B0_manual,U02551,6.4248,6.1416,0.5554,0.2603,188.29,4.4633,0.0959
B0_manual,U02565,6.3408,6.0921,0.5718,0.2505,183.27,4.333,0.0864
B0_manual,U02579,6.3595,6.0925,0.5572,0.2596,188.03,4.4611,0.0937
B0_manual,U02593,6.5261,6.2397,0.5748,0.2472,181.28,4.2653,0.0886
B0_manual,U02607,6.2467,5.9985,0.5511,0.2643,190.65,4.5408,0.0944
B0_manual,U02621,6.4222,6.1517,0.5677,0.2525,184.21,4.3525,0.0899
B0_manual,U02635,6.4853,6.2031,0.5699,0.2506,183.13,4.3186,0.0901
B0_manual,U02649,6.4108,6.1315,0.5561,0.26,188.11,4.4596,0.0952
B0_manual,U02663,6.4384,6.1617,0.565,0.2541,185.01,4.3732,0.0915
B0_manual,U02677,6.2514,6.0105,0.5596,0.2589,187.8,4.4628,0.0904
B0_manual,U02691,6.4364,6.1508,0.5555,0.2602,188.18,4.4596,0.096
B0_manual,U02705,6.2615,6.0147,0.5558,0.2612,189.01,4.4951,0.0925
B0_manual,U02719,6.3744,6.1067,0.5598,0.2578,187.07,4.4339,0.0927
B0_manual,U02733,6.1855,5.9423,0.5425,0.2702,193.83,4.6317,0.0973
B0_manual,U02747,6.1913,5.9505,0.5462,0.2678,192.56,4.5968,0.0956
B0_manual,U02761,6.3078,6.0387,0.5434,0.2688,192.87,4.5967,0.0993
B0_manual,U02775,6.1959,5.9558,0.548,0.2667,191.97,4.5804,0.0949
B0_manual,U02789,6.4746,6.1906,0.5657,0.2534,184.6,4.3593,0.0919
B0_manual,U02803,6.3807,6.1198,0.5683,0.2525,184.24,4.3564,0.0889
B0_manual,U02817,6.0989,5.8727,0.5404,0.2722,195.01,4.6702,0.0966
B0_manual,U02831,6.5011,6.2143,0.5688,0.2513,183.43,4.3256,0.091
B0_manual,U02845,6.0969,5.8794,0.5489,0.2668,192.2,4.5939,0.0926
B0_manual,U02859,6.4171,6.1433,0.5632,0.2554,185.72,4.3941,0.092
B0_manual,U02873,6.4805,6.2057,0.5765,0.2465,180.97,4.2602,0.0869
B0_manual,U02887,6.5735,6.2732,0.5712,0.2492,182.22,4.2872,0.0912
B0_manual,U02901,6.2775,6.0367,0.5656,0.2549,185.68,4.4033,0.0881
B0_manual,U02915,6.2827,6.0374,0.5621,0.2571,186.8,4.4334,0.0899
B0_manual,U02929,6.3651,6.1088,0.5694,0.2519,183.95,4.3497,0.088
B0_manual,U02943,6.3097,6.0557,0.5594,0.2586,187.56,4.4521,0.0917
B0_manual,U02957,6.5705,6.2726,0.573,0.248,181.64,4.2717,0.0903
B0_manual,U02971,6.3338,6.072,0.5567,0.2601,188.32,4.4708,0.0934
B0_manual,U02985,6.3825,6.1238,0.5708,0.2508,183.38,4.333,0.0877
B0_manual,U02999,6.1396,5.9166,0.5529,0.264,190.65,4.5485,0.0915
B0_manual,U03013,6.5727,6.2719,0.5706,0.2496,182.45,4.2936,0.0915
B0_manual,U03027,6.4072,6.1286,0.5561,0.26,188.14,4.4607,0.0952
B0_manual,U03041,6.2483,6.0055,0.557,0.2606,188.68,4.4869,0.0916
B0_manual,U03055,6.0747,5.8584,0.5452,0.2693,193.54,4.6321,0.0939
B0_manual,U03069,6.4774,6.1885,0.5613,0.2562,186.03,4.398,0.0941
B0_manual,U03083,6.5438,6.2463,0.5675,0.2518,183.63,4.328,0.0924
B0_manual,U03097,6.3732,6.1151,0.5695,0.2517,183.88,4.3472,0.0881
B0_manual,U03111,6.4357,6.1639,0.5694,0.2513,183.56,4.3338,0.0894
B0_manual,U03125,6.4746,6.1883,0.5633,0.2549,185.38,4.3807,0.0931
B0_manual,U03139,6.4884,6.2009,0.5652,0.2536,184.67,4.3602,0.0924
B0_manual,U03153,6.5218,6.2296,0.5679,0.2517,183.6,4.3287,0.0918
B0_manual,U03167,6.4888,6.2045,0.5686,0.2515,183.56,4.3299,0.0908
B0_manual,U03181,6.2478,6.0043,0.5563,0.261,188.94,4.494,0.092
B0_manual,U03195,6.1442,5.9099,0.5423,0.2707,194.12,4.6427,0.0966
B0_manual,U03209,6.408,6.1562,0.5837,0.2425,178.97,4.2111,0.0821
B0_manual,U03223,6.4205,6.1486,0.5659,0.2536,184.8,4.3687,0.0907
B0_manual,U03237,6.2904,6.0434,0.5622,0.257,186.75,4.4314,0.09
B0_manual,U03251,6.4402,6.1739,0.576,0.2471,181.35,4.2735,0.0863
B0_manual,U03265,6.1666,5.9409,0.5561,0.2617,189.43,4.5134,0.0905
B0_manual,U03279,6.3847,6.1059,0.5508,0.2635,190.02,4.5135,0.0973
B0_manual,U03293,6.3471,6.087,0.5615,0.257,186.66,4.4248,0.0914
B0_manual,U03307,6.2435,5.9892,0.5442,0.2688,192.97,4.6041,0.0976
B0_manual,U03321,6.4357,6.1531,0.5584,0.2583,187.21,4.4332,0.0946
B0_manual,U03335,6.2374,5.9974,0.5575,0.2603,188.58,4.4851,0.0912
B0_manual,U03349,6.2947,6.0334,0.5485,0.2656,191.26,4.5538,0.0966
B0_manual,U03363,6.4177,6.1361,0.5554,0.2604,188.31,4.4646,0.0957
B0_manual,U03377,6.3876,6.1282,0.5713,0.2505,183.2,4.3277,0.0876
B0_manual,U03391,6.2741,6.032,0.5635,0.2562,186.38,4.4226,0.089
B0_manual,U03405,6.2223,5.9747,0.5462,0.2676,192.4,4.5902,0.0963
B0_manual,U03419,6.2834,6.0261,0.5501,0.2647,190.79,4.5418,0.0956
B0_manual,U03433,6.5196,6.2271,0.5671,0.2522,183.89,4.3368,0.0921
B0_manual,U03447,6.5233,6.2347,0.5719,0.2491,182.28,4.2927,0.0899
B0_manual,U03461,6.2872,6.0373,0.5585,0.2593,187.97,4.4648,0.0917
B0_manual,U03475,6.4601,6.1748,0.5611,0.2565,186.21,4.4041,0.0938
B0_manual,U03489,6.5153,6.2328,0.5764,0.2463,180.83,4.2538,0.0876
B0_manual,U03503,6.3473,6.084,0.5582,0.2591,187.74,4.4543,0.093
B0_manual,U03517,6.2467,5.9983,0.5509,0.2644,190.72,4.5425,0.0945
B0_manual,U03531,6.2131,5.9666,0.5453,0.2682,192.76,4.6005,0.0965
B0_manual,U03545,6.3898,6.1281,0.5695,0.2516,183.78,4.3434,0.0885
B0_manual,U03559,6.2657,6.0105,0.5482,0.266,191.5,4.5626,0.0962
B0_manual,U03573,6.3821,6.1151,0.5623,0.2562,186.21,4.4099,0.0917
B0_manual,U03587,6.4116,6.1289,0.5528,0.262,189.19,4.4889,0.0968
B0_manual,U03601,6.4584,6.1781,0.5658,0.2535,184.66,4.3621,0.0916
B0_manual,U03615,6.1789,5.9407,0.546,0.268,192.69,4.6013,0.0955
B0_manual,U03629,6.2812,6.0319,0.5577,0.2599,188.26,4.4733,0.0919
B0_manual,U03643,6.4678,6.1862,0.5666,0.2529,184.32,4.3522,0.0913
B0_manual,U03657,6.3679,6.0984,0.5565,0.26,188.22,4.4658,0.0942
B0_manual,U03671,6.3359,6.0792,0.5625,0.2565,186.41,4.4187,0.0907
B0_manual,U03685,6.2461,6.0066,0.5598,0.2588,187.76,4.4622,0.0903
B0_manual,U03699,6.2798,6.0247,0.5514,0.2639,190.36,4.5304,0.0949
B0_manual,U03713,6.3042,6.0627,0.5709,0.2513,183.77,4.3492,0.0861
B0_manual,U03727,6.5611,6.2649,0.5726,0.2484,181.83,4.2776,0.0903
B0_manual,U03741,6.3803,6.1052,0.5536,0.2618,189.12,4.4893,0.0959
B0_manual,U03755,6.3727,6.1095,0.5641,0.2552,185.67,4.3959,0.0907
B0_manual,U03769,6.2998,6.0403,0.5514,0.2637,190.26,4.5261,0.0953
B0_manual,U03783,6.4078,6.1253,0.5522,0.2624,189.41,4.4952,0.097
B0_manual,U03797,6.0906,5.8682,0.5425,0.2709,194.35,4.6529,0.0955
B0_manual,U03811,6.292,6.0373,0.5546,0.2618,189.24,4.499,0.0936
B0_manual,U03825,6.2805,6.0242,0.5505,0.2645,190.68,4.539,0.0954
B0_manual,U03839,6.3848,6.1246,0.5699,0.2514,183.68,4.341,0.0882
B0_manual,U03853,6.552,6.2609,0.5758,0.2464,180.81,4.2507,0.0886
B0_manual,U03867,6.2461,5.9921,0.545,0.2682,192.69,4.5963,0.0973
B0_manual,U03881,6.2759,6.0299,0.56,0.2585,187.56,4.4545,0.0908
B0_manual,U03895,6.2271,5.9783,0.5461,0.2677,192.42,4.5904,0.0964
B0_manual,U03909,6.3253,6.0733,0.5649,0.255,185.65,4.3989,0.0894
B0_manual,U03923,6.3689,6.0972,0.5545,0.2613,188.87,4.4833,0.0952
B0_manual,U03937,6.4239,6.1464,0.561,0.2568,186.42,4.4126,0.0932
B0_manual,U03951,6.5096,6.2208,0.5686,0.2513,183.45,4.3254,0.0912
B0_manual,U03965,6.2953,6.0382,0.5529,0.2628,189.78,4.5135,0.0945
B0_manual,U03979,6.4285,6.1575,0.5687,0.2519,183.85,4.3424,0.0896
B0_manual,U03993,6.3172,6.0609,0.5587,0.259,187.76,4.4569,0.0922
B0_manual,U04007,6.2172,5.9827,0.5585,0.2598,188.35,4.4803,0.0903
B0_manual,U04021,6.3159,6.0454,0.5437,0.2685,192.72,4.5921,0.0993
B0_manual,U04035,6.2705,6.0273,0.5616,0.2575,187.05,4.4411,0.0899
B0_manual,U04049,6.4178,6.1351,0.5542,0.2611,188.71,4.4755,0.0963
B0_manual,U04063,6.5043,6.212,0.5639,0.2543,185.02,4.3687,0.0933
B0_manual,U04077,6.2897,6.034,0.5531,0.2627,189.75,4.5131,0.0943
B0_manual,U04091,6.2325,5.9964,0.5604,0.2586,187.66,4.4603,0.0897
B0_manual,U04105,6.4181,6.1384,0.5575,0.259,187.62,4.4458,0.0947
B0_manual,U04119,6.2995,6.0457,0.5573,0.26,188.31,4.4732,0.0925
B0_manual,U04133,6.1875,5.9471,0.5458,0.2682,192.74,4.602,0.0958
B0_manual,U04147,6.4518,6.1756,0.5686,0.2517,183.75,4.3379,0.0901
B0_manual,U04161,6.5002,6.2154,0.5706,0.2501,182.83,4.3094,0.0901
B0_manual,U04175,6.081,5.8657,0.5476,0.2678,192.72,4.6092,0.0929
B0_manual,U04189,6.203,5.9691,0.5559,0.2616,189.29,4.507,0.0913
B0_manual,U04203,6.4741,6.1857,0.5611,0.2563,186.12,4.4007,0.0941
B0_manual,U04217,6.2928,6.0484,0.5653,0.255,185.68,4.4021,0.0885
B0_manual,U04231,6.0992,5.881,0.5487,0.2669,192.25,4.5951,0.0927
B0_manual,U04245,6.4276,6.1519,0.5636,0.255,185.52,4.3878,0.092
B0_manual,U04259,6.3873,6.1211,0.5643,0.2549,185.51,4.3905,0.0909
B0_manual,U04273,5.9972,5.791,0.5381,0.2744,196.31,4.7131,0.0957
B0_manual,U04287,6.3192,6.0591,0.5552,0.2612,188.9,4.4878,0.0939
B0_manual,U04301,6.2368,5.9992,0.5597,0.2589,187.84,4.4651,0.0901
B0_manual,U04315,6.5597,6.2639,0.5727,0.2483,181.81,4.2771,0.0902
B0_manual,U04329,6.2185,5.9718,0.5464,0.2675,192.37,4.5897,0.0961
B0_manual,U04343,6.3392,6.0832,0.5639,0.2555,185.91,4.4051,0.0901
B0_manual,U04357,6.2383,5.9827,0.5417,0.2704,193.83,4.6278,0.0987
B0_manual,U04371,6.4629,6.1822,0.5665,0.253,184.39,4.3546,0.0913
B0_manual,U04385,6.3388,6.0858,0.5669,0.2536,184.91,4.3778,0.0887
B0_manual,U04399,6.18,5.9466,0.5512,0.2647,190.97,4.5542,0.093
B0_manual,U04413,6.132,5.8966,0.5384,0.2732,195.47,4.6802,0.0982
B0_manual,U04427,6.3157,6.0607,0.5596,0.2584,187.46,4.4489,0.0917
B0_manual,U04441,6.448,6.1656,0.5614,0.2563,186.16,4.4039,0.0935
B0_manual,U04455,6.2626,6.0155,0.5558,0.2612,189.0,4.4945,0.0925
B0_manual,U04469,6.1126,5.8927,0.5499,0.2661,191.78,4.5814,0.0924
B0_manual,U04483,6.2983,6.0532,0.5659,0.2546,185.47,4.3961,0.0884
B0_manual,U04497,6.3128,6.0578,0.5591,0.2588,187.66,4.4545,0.0919
B0_manual,U04511,6.3222,6.06,0.5537,0.2621,189.38,4.5007,0.0946
