epoch,prompt_id,reward,loss,kappa_hat,confidence_before,confidence_after,confidence_delta,converged,cumulative_reward,rolling_reward_50,rolling_loss_50,alpha,beta,posterior_mean
25,dependency_heavy,0.583344,0.0,13.815512,8.012032,8.086129,0.074098,1,9.441949,0.377678,0.097757,8.767331,4.232669,0.67441
26,low_external_context,0.373056,0.053361,13.815512,7.38763,7.573109,0.185478,0,9.815005,0.3775,0.09605,7.728121,4.271879,0.64401
27,missing_acceptance_criteria,0.39706,0.037875,14.508658,7.562963,7.697,0.134037,0,10.212066,0.378225,0.093895,5.11058,2.88942,0.638823
28,low_external_context,0.380241,0.030609,13.815512,7.573109,7.755126,0.182017,0,10.592306,0.378297,0.091635,8.418242,4.581758,0.647557
29,dependency_heavy,0.582488,0.0,13.815512,8.086129,8.158325,0.072196,1,11.174794,0.385338,0.088475,9.558575,4.441425,0.682755
30,low_external_context,0.426851,0.008441,14.508658,7.755126,7.932471,0.177345,0,11.601645,0.386722,0.085807,9.131667,4.868333,0.652262
31,dependency_heavy,0.581437,0.0,13.815512,8.158325,8.228184,0.069859,1,12.183082,0.393003,0.083039,10.349293,4.650707,0.689953
32,dependency_heavy,0.619367,0.0,14.508658,8.228184,8.382332,0.154148,1,12.802448,0.400077,0.080444,11.158977,4.841023,0.697436
33,dependency_heavy,0.575293,0.0,13.815512,8.382332,8.43854,0.056208,1,13.377742,0.405386,0.078007,11.946624,5.053376,0.702743
34,dependency_heavy,0.574002,0.0,13.815512,8.43854,8.491879,0.053339,1,13.951744,0.410345,0.075712,12.733625,5.266375,0.707424
35,missing_acceptance_criteria,0.374702,0.028265,13.815512,7.697,7.773877,0.076877,0,14.326446,0.409327,0.074357,5.797931,3.202069,0.644215
36,low_external_context,0.588611,0.0,13.815512,7.932471,8.104076,0.171605,1,14.915057,0.414307,0.072291,9.925973,5.074027,0.661732
37,dependency_heavy,0.572637,0.0,13.815512,8.491879,8.542183,0.050304,1,15.487694,0.418586,0.070337,13.519943,5.480057,0.711576
38,low_external_context,0.587113,0.0,13.815512,8.104076,8.269021,0.164945,1,16.074807,0.423021,0.068487,10.719529,5.280471,0.669971
39,dependency_heavy,0.61757,0.0,14.508658,8.542183,8.692338,0.150155,1,16.692377,0.42801,0.06673,14.328728,5.671272,0.716436
40,dependency_heavy,0.612964,0.0,14.508658,8.692338,8.832258,0.13992,1,17.30534,0.432634,0.065062,15.13521,5.86479,0.720724
41,low_external_context,0.579934,0.0,13.815512,8.269021,8.33554,0.066519,1,17.885274,0.436226,0.063475,11.509496,5.490504,0.677029
42,low_external_context,0.585578,0.0,13.815512,8.33554,8.493664,0.158124,1,18.470852,0.439782,0.061964,12.302285,5.697715,0.68346
43,dependency_heavy,0.558379,0.0,13.815512,8.832258,8.850877,0.018619,1,19.029231,0.44254,0.060523,15.914399,6.085601,0.723382
44,dependency_heavy,0.557717,0.0,13.815512,8.850877,8.868026,0.017149,1,19.586948,0.445158,0.059147,16.693258,6.306742,0.725794
45,dependency_heavy,0.557067,0.0,13.815512,8.868026,8.883731,0.015705,1,20.144015,0.447645,0.057833,17.471792,6.528208,0.727991
46,dependency_heavy,0.611785,0.0,14.508658,8.883731,9.021032,0.137301,1,20.7558,0.451213,0.056576,18.277684,6.722316,0.731107
47,low_external_context,0.617107,0.0,14.508658,8.493664,8.642791,0.149127,1,21.372908,0.454743,0.055372,13.110838,5.889162,0.690044
48,dependency_heavy,0.55,0.0,0.0,9.021032,9.0,0.0,1,21.922908,0.456727,0.054218,19.052684,6.947316,0.732796
49,low_external_context,0.612907,0.0,14.508658,8.642791,8.782584,0.139793,1,22.535814,0.459915,0.053112,13.917292,6.082708,0.695865
50,missing_acceptance_criteria,0.377798,0.010735,13.815512,7.773877,7.914123,0.140246,0,22.913612,0.458272,0.052264,6.48683,3.51317,0.648683
51,low_external_context,0.579309,0.0,13.815512,8.782584,8.912847,0.130264,1,23.492922,0.463042,0.049939,14.706946,6.293054,0.700331
52,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,24.042922,0.46804,0.045289,19.827684,7.172316,0.734359
53,low_external_context,0.577152,0.0,13.815512,8.912847,9.033521,0.120674,1,24.620073,0.473401,0.041016,15.495522,6.504478,0.704342
54,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,25.170073,0.477746,0.037033,20.602684,7.397316,0.73581
55,low_external_context,0.575008,0.0,13.815512,9.033521,9.144666,0.111145,1,25.745081,0.481932,0.034994,16.283026,6.716974,0.707958
56,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,26.295081,0.486122,0.031316,21.377684,7.622316,0.737162
57,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,26.845081,0.490065,0.029472,22.152684,7.847316,0.738423
58,missing_acceptance_criteria,0.612889,0.0,14.508658,7.914123,8.053877,0.139754,1,27.45797,0.495162,0.027832,7.293275,3.706725,0.663025
59,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,28.00797,0.499345,0.025507,22.927684,8.072316,0.739603
60,dependency_heavy,0.61795,0.0,14.508658,9.0,9.151,0.151,1,28.62592,0.50439,0.023468,23.736659,8.263341,0.741771
61,dependency_heavy,0.55,0.0,0.0,9.151,9.0,0.0,1,29.17592,0.507908,0.021731,24.511659,8.488341,0.742778
62,missing_acceptance_criteria,0.612179,0.0,14.508658,8.053877,8.192052,0.138175,1,29.788099,0.512691,0.018496,8.099364,3.900636,0.674947
63,low_external_context,0.55,0.0,0.0,9.144666,9.0,0.0,1,30.338099,0.515927,0.017195,17.058026,6.941974,0.710751
64,missing_acceptance_criteria,0.611018,0.0,14.508658,8.192052,8.327648,0.135596,1,30.949117,0.521074,0.015775,8.904873,4.095127,0.68499
65,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,31.499117,0.524704,0.014683,25.286659,8.713341,0.743725
66,low_external_context,0.577675,0.0,13.815512,9.0,9.123,0.123,1,32.076792,0.52822,0.01395,17.846863,7.153137,0.713875
67,dependency_heavy,0.62335,0.0,14.508658,9.0,9.163,0.163,1,32.700142,0.533139,0.013421,26.098334,8.901666,0.745667
68,dependency_heavy,0.612901,0.0,14.508658,9.163,9.302779,0.139779,1,33.313043,0.537601,0.012328,26.904785,9.095215,0.747355
69,dependency_heavy,0.55,0.0,0.0,9.302779,9.0,0.0,1,33.863043,0.541759,0.009546,27.679785,9.320215,0.748102
70,low_external_context,0.55,0.0,0.0,9.123,9.0,0.0,1,34.413043,0.545502,0.007075,18.621863,7.378137,0.716226
71,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,34.963043,0.549355,0.005075,28.454785,9.545215,0.74881
72,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,35.513043,0.552077,0.004917,29.229785,9.770215,0.749482
73,low_external_context,0.579475,0.0,13.815512,9.0,9.131,0.131,1,36.092518,0.556358,0.003386,19.411601,7.588399,0.718948
74,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,36.642518,0.555678,0.003386,30.004785,9.995215,0.75012
75,dependency_heavy,0.63415,0.0,14.508658,9.0,9.187,0.187,1,37.276668,0.556694,0.003386,30.82186,10.17814,0.751753
76,dependency_heavy,0.619877,0.0,14.508658,9.187,9.342283,0.155283,1,37.896545,0.561631,0.002319,31.631798,10.368202,0.753138
77,low_external_context,0.602792,0.0,14.508658,9.131,9.248315,0.117315,1,38.499337,0.565745,0.001561,20.212997,7.787003,0.721893
78,low_external_context,0.597018,0.0,14.508658,9.248315,9.352799,0.104484,1,39.096355,0.570081,0.000949,21.011506,7.988494,0.724535
79,dependency_heavy,0.607715,0.0,14.508658,9.342283,9.470538,0.128255,1,39.704069,0.570586,0.000949,32.435656,10.564344,0.754318
80,low_external_context,0.591647,0.0,14.508658,9.352799,9.445349,0.09255,1,40.295717,0.573881,0.00078,21.807329,8.192671,0.726911
81,dependency_heavy,0.55,0.0,0.0,9.470538,9.0,0.0,1,40.845717,0.573253,0.00078,33.210656,10.789344,0.754788
82,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,41.395717,0.571865,0.00078,33.985656,11.014344,0.755237
83,missing_acceptance_criteria,0.609452,0.0,14.508658,8.327648,8.459764,0.132116,1,42.005169,0.572549,0.00078,9.709599,4.290401,0.693543
84,missing_acceptance_criteria,0.607528,0.0,14.508658,8.459764,8.587603,0.12784,1,42.612697,0.573219,0.00078,10.513363,4.486637,0.700891
85,dependency_heavy,0.64315,0.0,14.508658,9.0,9.207,0.207,1,43.255847,0.578588,0.000215,34.807231,11.192769,0.756679
86,dependency_heavy,0.625295,0.0,14.508658,9.207,9.374323,0.167323,1,43.881142,0.579322,0.000215,35.619878,11.380122,0.75787
87,dependency_heavy,0.55,0.0,0.0,9.374323,9.0,0.0,1,44.431142,0.578869,0.000215,36.394878,11.605122,0.758227
88,low_external_context,0.568345,0.0,13.815512,9.445349,9.526883,0.081534,1,44.999487,0.578494,0.000215,22.591502,8.408498,0.728758
89,low_external_context,0.55,0.0,0.0,9.526883,9.0,0.0,1,45.549487,0.577142,0.000215,23.366502,8.633498,0.730203
90,dependency_heavy,0.64855,0.0,14.508658,9.0,9.219,0.219,1,46.198037,0.577854,0.000215,37.219153,11.780847,0.759575
91,dependency_heavy,0.627319,0.0,14.508658,9.219,9.39082,0.17182,1,46.825356,0.578802,0.000215,38.032813,11.967187,0.760656
92,low_external_context,0.584875,0.0,13.815512,9.0,9.155,0.155,1,47.410231,0.578788,0.000215,24.15894,8.84106,0.732089
93,dependency_heavy,0.55,0.0,0.0,9.39082,9.0,0.0,1,47.960231,0.57862,0.000215,38.807813,12.192187,0.760938
94,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,48.510231,0.578466,0.000215,39.582813,12.417187,0.761208
95,low_external_context,0.55,0.0,0.0,9.155,9.0,0.0,1,49.060231,0.578324,0.000215,24.93394,9.06606,0.733351
96,missing_acceptance_criteria,0.605295,0.0,14.508658,8.587603,8.710482,0.122879,1,49.665526,0.578195,0.000215,11.316011,4.683989,0.707251
97,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,50.215526,0.576852,0.000215,40.357813,12.642187,0.761468
98,low_external_context,0.55,0.0,13.815512,9.0,9.0,0.0,1,50.765526,0.576852,0.000215,25.70894,9.29106,0.734541
99,missing_acceptance_criteria,0.561856,0.0,13.815512,8.710482,8.736828,0.026346,1,51.327382,0.575831,0.000215,12.096939,4.903061,0.711585
100,low_external_context,0.55,0.0,13.815512,9.0,9.0,0.0,1,51.877382,0.579275,0.0,26.48394,9.51606,0.735665
101,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,52.427382,0.578689,0.0,41.132813,12.867187,0.761719
102,missing_acceptance_criteria,0.561251,0.0,14.508658,8.736828,8.761829,0.025001,1,52.988633,0.578914,0.0,12.877564,5.122436,0.71542
103,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,53.538633,0.578371,0.0,41.907813,13.092187,0.76196
104,low_external_context,0.55,0.0,13.815512,9.0,9.0,0.0,1,54.088633,0.578371,0.0,27.25894,9.74106,0.736728
105,dependency_heavy,0.649,0.0,14.508658,9.0,9.22,0.22,1,54.737633,0.579851,0.0,42.732313,13.267687,0.763077
106,dependency_heavy,0.62722,0.0,14.508658,9.22,9.3916,0.1716,1,55.364853,0.581395,0.0,43.545923,13.454077,0.763964
107,dependency_heavy,0.55,0.0,0.0,9.3916,9.0,0.0,1,55.914853,0.581395,0.0,44.320923,13.679077,0.764154
108,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,56.464853,0.580138,0.0,45.095923,13.904077,0.764338
109,low_external_context,0.589375,0.0,13.815512,9.0,9.175,0.175,1,57.054228,0.580925,0.0,28.053627,9.946373,0.738253
110,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,57.604228,0.579566,0.0,45.870923,14.129077,0.764515
111,dependency_heavy,0.649,0.0,14.508658,9.0,9.22,0.22,1,58.253228,0.581546,0.0,46.695423,14.304577,0.765499
112,low_external_context,0.583227,0.0,13.815512,9.175,9.322675,0.147675,1,58.836455,0.580967,0.0,28.84524,10.15476,0.739622
113,low_external_context,0.55,0.0,0.0,9.322675,9.0,0.0,1,59.386455,0.580967,0.0,29.62024,10.37976,0.740506
114,dependency_heavy,0.55,0.0,0.0,9.22,9.0,0.0,1,59.936455,0.579747,0.0,47.470423,14.529577,0.765652
115,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,60.486455,0.579747,0.0,48.245423,14.754577,0.7658
116,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,61.036455,0.579193,0.0,49.020423,14.979577,0.765944
117,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,61.586455,0.577726,0.0,49.795423,15.204577,0.766083
118,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,62.136455,0.576468,0.0,50.570423,15.429577,0.766219
119,low_external_context,0.592075,0.0,13.815512,9.0,9.187,0.187,1,62.72853,0.57731,0.0,30.416278,10.583722,0.74186
120,low_external_context,0.584939,0.0,13.815512,9.187,9.342283,0.155283,1,63.313468,0.578009,0.0,31.208747,10.791253,0.743065
121,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,63.863468,0.578009,0.0,51.345423,15.654577,0.76635
122,dependency_heavy,0.649,0.0,14.508658,9.0,9.22,0.22,1,64.512468,0.579989,0.0,52.169923,15.830077,0.767205
123,missing_acceptance_criteria,0.605161,0.0,14.508658,8.761829,8.884408,0.122579,1,65.117629,0.580502,0.0,13.680144,5.319856,0.720008
124,low_external_context,0.578857,0.0,13.815512,9.342283,9.470538,0.128255,1,65.696486,0.581079,0.0,31.998176,11.001824,0.744144
125,low_external_context,0.597413,0.0,14.508658,9.470538,9.575901,0.105363,1,66.2939,0.580345,0.0,32.796883,11.203117,0.745384
126,dependency_heavy,0.55,0.0,0.0,9.22,9.0,0.0,1,66.8439,0.578947,0.0,52.944923,16.055077,0.767318
127,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,67.3939,0.577891,0.0,53.719923,16.280077,0.767427
128,missing_acceptance_criteria,0.575854,0.0,14.914123,8.884408,8.999314,0.114906,1,67.969753,0.577468,0.0,14.468071,5.531929,0.723404
129,missing_acceptance_criteria,0.598183,0.0,14.508658,8.999314,9.106387,0.107073,1,68.567936,0.577277,0.0,15.267163,5.732837,0.727008
130,dependency_heavy,0.649,0.0,14.508658,9.0,9.22,0.22,1,69.216936,0.578424,0.0,54.544423,16.455577,0.768231
131,missing_acceptance_criteria,0.55,0.0,0.0,9.106387,9.0,0.0,1,69.766936,0.578424,0.0,16.042163,5.957837,0.729189
132,dependency_heavy,0.55,0.0,0.0,9.22,9.0,0.0,1,70.316936,0.578424,0.0,55.319423,16.680577,0.768325
133,low_external_context,0.569371,0.0,13.815512,9.575901,9.661993,0.086092,1,70.886307,0.577623,0.0,33.581568,11.418432,0.746257
134,missing_acceptance_criteria,0.55,0.0,13.815512,9.0,9.0,0.0,1,71.436307,0.576472,0.0,16.817163,6.182837,0.731181
135,low_external_context,0.565743,0.0,13.815512,9.661993,9.73196,0.069967,1,72.00205,0.574924,0.0,34.364439,11.635561,0.747053
136,low_external_context,0.562725,0.0,13.815512,9.73196,9.788517,0.056556,1,72.564775,0.573673,0.0,35.145802,11.854198,0.747783
137,low_external_context,0.55,0.0,0.0,9.788517,9.0,0.0,1,73.114775,0.573673,0.0,35.920802,12.079198,0.74835
138,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,73.664775,0.573306,0.0,56.094423,16.905577,0.768417
139,missing_acceptance_criteria,0.576775,0.0,13.815512,9.0,9.119,0.119,1,74.24155,0.573841,0.0,17.60555,6.39445,0.733565
140,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,74.79155,0.57187,0.0,56.869423,17.130577,0.768506
141,missing_acceptance_criteria,0.55,0.0,0.0,9.119,9.0,0.0,1,75.34155,0.570324,0.0,18.38055,6.61945,0.735222
142,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,75.89155,0.569626,0.0,57.644423,17.355577,0.768592
143,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,76.44155,0.569626,0.0,58.419423,17.580577,0.768677
144,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,76.99155,0.569626,0.0,59.194423,17.805577,0.768759
145,low_external_context,0.64855,0.0,14.508658,9.0,9.219,0.219,1,77.6401,0.571597,0.0,36.745077,12.254923,0.7499
146,low_external_context,0.58866,0.0,13.815512,9.219,9.39082,0.17182,1,78.22876,0.571265,0.0,37.539407,12.460593,0.750788
147,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,78.77876,0.571265,0.0,59.969423,18.030577,0.768839
148,low_external_context,0.610309,0.0,14.508658,9.39082,9.52484,0.13402,1,79.389068,0.572471,0.0,38.344561,12.655439,0.751854
149,missing_acceptance_criteria,0.55,0.0,13.815512,9.0,9.0,0.0,1,79.939068,0.572234,0.0,19.15555,6.84445,0.736752
150,low_external_context,0.57352,0.0,13.815512,9.52484,9.629375,0.104535,1,80.512589,0.572704,0.0,39.131321,12.868679,0.752525
151,low_external_context,0.586692,0.0,14.508658,9.629375,9.710912,0.081538,1,81.099281,0.573438,0.0,39.924667,13.075333,0.753296
152,low_external_context,0.57862,0.0,14.508658,9.710912,9.774512,0.063599,1,81.6779,0.573785,0.0,40.713977,13.286023,0.753963
153,missing_acceptance_criteria,0.60895,0.0,14.508658,9.0,9.131,0.131,1,82.28685,0.574964,0.0,19.960025,7.039975,0.73926
154,missing_acceptance_criteria,0.55,0.0,0.0,9.131,9.0,0.0,1,82.83685,0.574964,0.0,20.735025,7.264975,0.740537
155,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,83.38685,0.572984,0.0,60.744423,18.255577,0.768917
156,missing_acceptance_criteria,0.55,0.0,13.815512,9.0,9.0,0.0,1,83.93685,0.57144,0.0,21.510025,7.489975,0.741725
157,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,84.48685,0.57144,0.0,61.519423,18.480577,0.768993
158,dependency_heavy,0.649,0.0,14.508658,9.0,9.22,0.22,1,85.13585,0.57342,0.0,62.343923,18.656077,0.769678
159,missing_acceptance_criteria,0.55,0.0,13.815512,9.0,9.0,0.0,1,85.68585,0.572632,0.0,22.285025,7.714975,0.742834
160,dependency_heavy,0.55,0.0,0.0,9.22,9.0,0.0,1,86.23585,0.572632,0.0,63.118923,18.881077,0.769743
161,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,86.78585,0.570652,0.0,63.893923,19.106077,0.769806
162,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,87.33585,0.569988,0.0,64.668923,19.331077,0.769868
163,missing_acceptance_criteria,0.55,0.0,13.815512,9.0,9.0,0.0,1,87.88585,0.569988,0.0,23.060025,7.939975,0.743872
164,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,88.43585,0.569988,0.0,65.443923,19.556077,0.769929
165,low_external_context,0.55,0.0,0.0,9.774512,9.0,0.0,1,88.98585,0.569988,0.0,41.488977,13.511023,0.754345
166,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,89.53585,0.569988,0.0,66.218923,19.781077,0.769987
167,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,90.08585,0.569988,0.0,66.993923,20.006077,0.770045
168,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,90.63585,0.569988,0.0,67.768923,20.231077,0.770101
169,low_external_context,0.55,0.0,13.815512,9.0,9.0,0.0,1,91.18585,0.569146,0.0,42.263977,13.736023,0.754714
170,missing_acceptance_criteria,0.583975,0.0,13.815512,9.0,9.151,0.151,1,91.769825,0.569127,0.0,23.852013,8.147987,0.745375
171,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,92.319825,0.569127,0.0,68.543923,20.456077,0.770156
172,dependency_heavy,0.649,0.0,14.508658,9.0,9.22,0.22,1,92.968825,0.569127,0.0,69.368423,20.631577,0.77076
173,low_external_context,0.649,0.0,14.508658,9.0,9.22,0.22,1,93.617825,0.570004,0.0,43.088477,13.911523,0.755938
174,missing_acceptance_criteria,0.579609,0.0,13.815512,9.151,9.282595,0.131595,1,94.197434,0.570019,0.0,24.641817,8.358183,0.746722
175,missing_acceptance_criteria,0.60133,0.0,14.508658,9.282595,9.396662,0.114067,1,94.798765,0.570097,0.0,25.442482,8.557518,0.748308
176,missing_acceptance_criteria,0.594255,0.0,14.508658,9.396662,9.495006,0.098344,1,95.393019,0.570982,0.0,26.23961,8.76039,0.749703
177,missing_acceptance_criteria,0.568975,0.0,13.815512,9.495006,9.57934,0.084334,1,95.961994,0.571362,0.0,27.024097,8.975903,0.750669
178,low_external_context,0.58861,0.0,13.815512,9.22,9.3916,0.1716,1,96.550604,0.571617,0.0,43.882782,14.117218,0.7566
179,missing_acceptance_criteria,0.55,0.0,0.0,9.57934,9.0,0.0,1,97.100604,0.570653,0.0,27.799097,9.200903,0.751327
180,dependency_heavy,0.55,0.0,0.0,9.22,9.0,0.0,1,97.650604,0.568673,0.0,70.143423,20.856577,0.770807
181,low_external_context,0.610232,0.0,14.508658,9.3916,9.525448,0.133848,1,98.260836,0.569878,0.0,44.687898,14.312102,0.757422
182,low_external_context,0.57349,0.0,13.815512,9.525448,9.629849,0.104401,1,98.834326,0.570348,0.0,45.474643,14.525357,0.757911
183,low_external_context,0.586645,0.0,14.508658,9.629849,9.711283,0.081433,1,99.420971,0.570693,0.0,46.267965,14.732035,0.758491
184,missing_acceptance_criteria,0.62875,0.0,14.508658,9.0,9.175,0.175,1,100.049721,0.572268,0.0,28.613472,9.386528,0.752986
185,missing_acceptance_criteria,0.55,0.0,0.0,9.175,9.0,0.0,1,100.599721,0.571953,0.0,29.388472,9.611528,0.753551
186,low_external_context,0.55,0.0,0.0,9.711283,9.0,0.0,1,101.149721,0.571699,0.0,47.042965,14.957035,0.758758
187,dependency_heavy,0.649,0.0,14.508658,9.0,9.22,0.22,1,101.798721,0.573679,0.0,70.967923,21.032077,0.77139
188,dependency_heavy,0.55,0.0,0.0,9.22,9.0,0.0,1,102.348721,0.573679,0.0,71.742923,21.257077,0.771429
189,dependency_heavy,0.649,0.0,14.508658,9.0,9.22,0.22,1,102.997721,0.575123,0.0,72.567423,21.432577,0.771994
190,low_external_context,0.55,0.0,13.815512,9.0,9.0,0.0,1,103.547721,0.575123,0.0,47.817965,15.182035,0.759015
191,dependency_heavy,0.62722,0.0,14.508658,9.22,9.3916,0.1716,1,104.174941,0.576668,0.0,73.381033,21.618967,0.772432
192,missing_acceptance_criteria,0.591175,0.0,13.815512,9.0,9.183,0.183,1,104.766116,0.577491,0.0,30.18406,9.81594,0.754601
193,low_external_context,0.649,0.0,14.508658,9.0,9.22,0.22,1,105.415116,0.579471,0.0,48.642465,15.357535,0.760039
194,dependency_heavy,0.610232,0.0,14.508658,9.3916,9.525448,0.133848,1,106.025348,0.580676,0.0,74.186149,21.813851,0.772772
195,dependency_heavy,0.55,0.0,0.0,9.525448,9.0,0.0,1,106.575348,0.578705,0.0,74.961149,22.038851,0.772795
196,low_external_context,0.58861,0.0,13.815512,9.22,9.3916,0.1716,1,107.163958,0.578704,0.0,49.43677,15.56323,0.760566
197,missing_acceptance_criteria,0.55,0.0,0.0,9.183,9.0,0.0,1,107.713958,0.578704,0.0,30.95906,10.04094,0.755099
198,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,108.263958,0.577498,0.0,75.736149,22.263851,0.772818
199,low_external_context,0.580116,0.0,13.815512,9.3916,9.525448,0.133848,1,108.844074,0.5781,0.0,50.226828,15.773172,0.761013
200,dependency_heavy,0.55,0.0,13.815512,9.0,9.0,0.0,1,109.394074,0.57763,0.0,76.511149,22.488851,0.77284
201,missing_acceptance_criteria,0.63595,0.0,14.508658,9.0,9.191,0.191,1,110.030024,0.578615,0.0,31.777035,10.222965,0.756596
