sequence,prompt_id,reward,alpha,beta,posterior_mean
63,security_privacy_boundaries,0.125,5.0625,3.9375,0.5625
64,missing_acceptance_criteria,1.0,9.0,1.0,0.9
65,dependency_heavy,1.0,8.5,1.5,0.85
66,low_external_context,0.625,7.9375,2.0625,0.79375
67,failure_recovery_paths,1.0,9.0,1.0,0.9
68,nonfunctional_constraints,1.0,8.4375,1.5625,0.84375
69,interface_data_contracts,1.0,8.8125,1.1875,0.88125
70,operational_readiness,1.0,8.5625,1.4375,0.85625
71,ambiguity_resolution,1.0,8.875,1.125,0.8875
72,security_privacy_boundaries,-0.5,5.3125,4.6875,0.53125
73,missing_acceptance_criteria,0.875,9.9375,1.0625,0.9034090909090909
74,dependency_heavy,-0.5,8.75,2.25,0.7954545454545454
75,low_external_context,0.625,8.75,2.25,0.7954545454545454
76,failure_recovery_paths,0.625,9.8125,1.1875,0.8920454545454546
77,nonfunctional_constraints,-0.5,8.6875,2.3125,0.7897727272727273
78,interface_data_contracts,0.625,9.625,1.375,0.875
79,operational_readiness,0.875,9.5,1.5,0.8636363636363636
80,ambiguity_resolution,0.875,9.8125,1.1875,0.8920454545454546
81,security_privacy_boundaries,-0.5,5.5625,5.4375,0.5056818181818182
82,missing_acceptance_criteria,1.0,10.9375,1.0625,0.9114583333333334
83,dependency_heavy,0.75,9.625,2.375,0.8020833333333334
84,low_external_context,1.0,9.75,2.25,0.8125
85,failure_recovery_paths,1.0,10.8125,1.1875,0.9010416666666666
86,nonfunctional_constraints,0.875,9.625,2.375,0.8020833333333334
87,interface_data_contracts,1.0,10.625,1.375,0.8854166666666666
88,operational_readiness,1.0,10.5,1.5,0.875
89,ambiguity_resolution,1.0,10.8125,1.1875,0.9010416666666666
90,security_privacy_boundaries,0.875,6.5,5.5,0.5416666666666666
91,missing_acceptance_criteria,1.0,11.9375,1.0625,0.9182692307692307
92,dependency_heavy,0.75,10.5,2.5,0.8076923076923077
93,low_external_context,0.875,10.6875,2.3125,0.8221153846153846
94,failure_recovery_paths,1.0,11.8125,1.1875,0.9086538461538461
95,nonfunctional_constraints,0.875,10.5625,2.4375,0.8125
96,interface_data_contracts,0.875,11.5625,1.4375,0.8894230769230769
97,operational_readiness,1.0,11.5,1.5,0.8846153846153846
98,ambiguity_resolution,1.0,11.8125,1.1875,0.9086538461538461
99,security_privacy_boundaries,-0.5,6.75,6.25,0.5192307692307693
